Weights/Scale,,,2.625,2.625,2,2.625,2.625,35,2.625,2,2.625,2.625,2.625,40,100
,,,Q1,Q2,A1,Q3,Q4,Midterm,Q5,A2,Q6,Q7,Q8,Final,Total
Sr#.,Roll No.,Name,30,49,100,30,15,35,45,100,32,24,40,40,100
1,S1,N1,24,34,100,29,10,32.38,36,100,21,9,32,31.67,84
2,S2,N2,24,25.5,100,26,6.5,26.25,23.5,100,15,9,25,30,73
3,S3,N3,27,34.5,100,29,7,31.5,37,100,26,12,33,34,86
4,S4,N4,25,23,100,28,4.5,23.63,35,100,18,11,26,28.67,70
5,S5,N5,25,32.5,100,22.5,6,24.06,18.5,100,13,11,25,31.33,72
6,S6,N6,29,35,100,24,8.5,24.5,0,100,19.5,10,33,32.33,74
7,S7,N7,28,26.5,100,29,7.5,30.63,30,100,18,10,32,33.67,83
8,S8,N8,26.5,23,100,21,3,17.94,25.5,100,13,8,18,22,55
9,S9,N9,28,31,100,21,5.5,22.31,28,80,15,0,0,12.33,49
10,S10,N10,27,27,100,22,12.5,25.38,0,100,18,12,28,37,79
11,S11,N11,27,28,100,23,4,24.94,0,100,24,0,36,32.67,73
12,S12,N12,25,31.5,100,22,6,19.69,24,100,20,10,32,29.67,67
13,S13,N13,29,32.5,100,21,5,26.69,34.5,100,19,13,21,30.33,75
14,S14,N14,25,40,100,24,7.5,22.75,31.5,100,10,7,37,31.33,72
15,S15,N15,27.5,34.5,100,21.5,6.5,22.31,22.5,90,16,0,27,27.33,66
16,S16,N16,27,27,100,27,4,31.06,26,100,21,0,36,32.33,80
17,S17,N17,26,34,100,12,10.5,23.63,21.5,100,19,8.5,31,31,72
18,S18,N18,26,24.5,100,22,6,20.13,25.5,100,20,9,22,31.67,68
19,S19,N19,28,20,100,20,10,25.81,22.5,100,0,0,22.5,24,64
20,S20,N20,27,35,100,18.5,3,22.75,35,100,17,6,26,24.33,64
21,S21,N21,27.5,31.5,100,23.5,5,29.75,20,100,15.5,7,23,31.67,78
22,S22,N22,24,27,100,24.5,2,24.94,29.5,100,20.5,0,32,29.33,70
23,S23,N23,22,30.5,100,26,6.5,18.38,33.5,100,19.5,6,35,29.33,66
24,S24,N24,22,32.5,100,23,6,29.75,32.5,100,0,0,25,28.33,73
25,S25,N25,28,23.5,100,13,4,16.19,0,100,16,0,23,28,57
26,S26,N26,26,21.5,100,27,3,24.94,24,90,0,5,31,18.33,58
27,S27,N27,28,36.5,100,29,10.5,24.94,28,100,23,9.5,27,32,77
28,S28,N28,25,33,100,29,0,19.25,21,95,23,0,31,31,66
29,S29,N29,28,35.5,100,29,4.5,29.31,29,100,19,11,28,32.67,80
30,S30,N30,27,24.5,100,25,5,27.13,32,100,19,10,23,29.67,74
31,S31,N31,28,21.5,100,16.5,4,22.31,30,100,16,10,31,33.33,72
32,S32,N32,,24,100,19,8,20.56,29.5,90,20,6,37,24.67,60
33,S33,N33,25,25.5,0,0,7,20.13,32,100,14,6,20,28.67,61
34,S34,N34,27,27,100,18.5,2.5,26.25,35,100,20.5,9,29,31.67,75
35,S35,N35,21,19,100,0,0,12.25,17,95,0,6,0,14.33,35
36,S36,N36,28,32,100,26.5,7,19.25,21,90,15,0,35,30.33,66
37,S37,N37,25,26.5,100,27,7,30.19,34,95,20,0,32,33.33,81
38,S38,N38,26.5,23.5,0,24,5.5,23.19,20,100,11,8.5,24,33,70
39,S39,N39,25,28,100,28,4,27.13,30,90,21,8,29,33.33,78
40,S40,N40,25,24,100,19,4,20.56,12,,10,11,34,26.33,60
41,S41,N41,23.5,36,100,26,7,25.38,32,100,14,9,30.5,32.67,76
42,S42,N42,28,37,100,21,6,29.75,35,100,11,10.5,30,29.67,77
43,S43,N43,29,27,100,21,6,14.88,24,100,14,9,27,17.67,49
44,S44,N44,24,23.5,100,16.5,5,18.81,14,100,14,6,28,23.33,57
45,S45,N45,26,29,100,22,8,17.06,16,95,0,10,20,18.67,51
46,S46,N46,26,30,100,26,4,17.5,21,100,19,7,25,25.67,60
47,S47,N47,22,30.5,100,21,2,23.19,17,100,0,5,24,28.33,65
48,S48,N48,22,30,100,29,2,13.56,24.5,100,0,10,24,29.33,58
49,S49,N49,22,30,0,10,1,8.31,18,70,11,6,19,22,41
50,S50,N50,22,30,100,11,0,10.94,14,100,16,5,31,24.33,49
51,S51,N51,28,23,100,22,6,20.13,25,90,17,0,37,24.33,61
52,S52,N52,25,28,100,18.5,0,10.06,8,100,16,9,15,16.67,40
53,S53,N53,22,18,100,13,0,9.19,23.5,100,10,4,14,17,38
54,S54,N54,22,30,100,16.5,3,17.5,33.5,100,54,0,15,29.67,65
